Name,White,Black or African American,American Indian and Alaska Native,Asian,Other,Two or more races,Hispanic or Latino
Alabama,68.4,26.5,0.5,1.3,1.4,1.8,4.1
Alaska,65.3,3.2,14.2,6.2,1.4,8.5,6.8
Arizona,77.5,4.3,4.4,3.1,7,3.5,30.9
Arkansas,77.3,15.4,0.7,1.4,2.5,2.4,7.2
California,60.6,5.8,0.7,14.1,13.7,4.7,38.8
Colorado,84.2,4.1,0.9,3,4.1,3.5,21.3
Connecticut,76.7,10.5,0.3,4.4,5.1,3.1,15.4
Delaware,69.1,21.9,0.4,3.9,2,2.8,9
District of Columbia,40.7,47.7,0.3,3.8,4.6,2.9,10.7
Florida,75.7,16.1,0.3,2.7,2.6,2.5,24.7
Georgia,59.4,31.3,0.3,3.8,2.8,2.3,9.3
Hawaii,25.1,1.8,0.2,38,1,23.8,10.2
Idaho,91,0.7,1.3,1.4,2.9,2.6,12.2
Illinois,71.9,14.3,0.2,5.2,6,2.4,16.8
Indiana,83.9,9.3,0.2,2.1,2.2,2.3,6.7
Iowa,90.6,3.4,0.3,2.3,1.3,2,5.7
Kansas,84.9,5.8,0.8,2.8,2.2,3.4,11.5
Kentucky,87.3,8,0.2,1.3,0.9,2.2,3.4
Louisiana,62.4,32.2,0.6,1.7,1.2,1.9,5
Maine,94.6,1.3,0.6,1.1,0.2,2.1,1.5
Maryland,56.6,29.7,0.3,6.2,3.9,3.2,9.6
Massachusetts,78.9,7.4,0.2,6.3,4.1,3.1,11.2
Michigan,78.7,13.8,0.5,2.9,1.2,2.8,4.9
Minnesota,83.7,6,1,4.7,1.7,2.8,5.2
Mississippi,58.8,37.6,0.4,1,0.9,1.3,3
Missouri,82.4,11.6,0.4,1.9,1.2,2.5,4
Montana,89,0.4,6.5,0.7,0.5,2.8,3.6
Nebraska,87.8,4.7,0.8,2.2,1.9,2.4,10.5
Nevada,67.1,8.8,1.1,8.1,9.7,4.7,28.2
New Hampshire,93.4,1.4,0.2,2.5,0.5,2,3.4
New Jersey,67.9,13.5,0.2,9.4,6.4,2.6,19.7
New Mexico,74.2,2,9.5,1.4,9.5,3.3,48.2
New York,63.8,15.7,0.4,8.3,8.7,3,18.8
North Carolina,69,21.5,1.2,2.7,3.1,2.5,9.1
North Dakota,87.7,2.3,5.3,1.4,0.9,2.3,3.3
Ohio,81.9,12.3,0.2,2,0.9,2.7,3.6
Oklahoma,72.6,7.3,7.4,2.1,2.7,7.8,10.1
Oregon,84.9,1.9,1.1,4.1,3,4.6,12.7
Pennsylvania,81.1,11.1,0.2,3.3,2,2.3,6.8
Rhode Island,80.9,6.5,0.5,3.4,5.7,3,14.6
South Carolina,67.3,27.2,0.3,1.5,1.5,2.1,5.5
South Dakota,84.7,1.7,8.7,1.4,0.8,2.7,3.5
Tennessee,77.8,16.8,0.3,1.7,1.3,2.1,5.2
Texas,74.6,12,0.5,4.5,5.8,2.6,38.9
Utah,86.8,1.1,1.1,2.3,5,2.8,13.7
Vermont,94.5,1.3,0.3,1.5,0.4,1.9,1.8
Virginia,68.4,19.2,0.3,6.2,2.4,3.5,9
Washington,76.7,3.7,1.3,8.1,4.1,5.5,12.3
West Virginia,93.3,3.6,0.2,0.8,0.4,1.7,1.5
Wisconsin,85.9,6.3,0.9,2.6,1.9,2.3,6.6
Wyoming,91.3,1,2.3,0.9,1.8,2.6,9.7
Puerto Rico,68.9,9.8,0.3,0.2,14.8,6.1,99
